combination,sum_rewards,fuel_used,time_used
[1 2 5],0.0,0.0,0
[1 3 0],1.0,1.6815884695425471,58
[1 3 1],2.0,0.9475094739624889,58
[1 3 2],0.0,0.0,0
[1 3 3],1.0,0.8203863516336355,29
[1 3 4],1.0,1.1417606883843052,58
[1 3 5],2.0,0.9512397462150445,58
[1 4 0],1.0,1.3671310765832736,58
[1 4 1],1.0,0.6806038432786405,29
[1 4 2],0.0,0.0,0
[1 4 3],1.0,1.6498973899757157,58
[1 4 4],1.0,0.5441598469538561,29
[1 4 5],1.0,1.647919173653888,58
[1 5 0],0.0,1.2725493592658663,29
[1 5 1],1.0,1.2302867788734988,58
[1 5 2],1.0,0.7333062493164765,29
[1 5 3],0.0,1.2725493592658663,29
[1 5 4],0.0,1.2725493592658663,29
[1 5 5],1.0,0.7333062493164765,29
[2 0 0],1.0,0.6538233699451605,29
[2 0 1],0.0,0.0,0
[2 0 2],1.0,0.6538233699451605,29
[2 0 3],1.0,2.0241384439059242,58
[2 0 4],0.0,1.320434470672313,29
[2 0 5],0.0,0.0,0
[2 1 0],0.0,1.2616109307083945,29
[2 1 1],0.0,1.1063677509923684,29
[2 1 2],1.0,1.82193803925242,58
[2 1 3],0.0,0.0,0
[2 1 4],0.0,1.2616109307083945,29
[2 1 5],0.0,1.2616109307083945,29
[2 2 0],1.0,1.2253238663961694,58
[2 2 1],0.0,1.1507519333516447,29
[2 2 2],1.0,0.5715004964510866,29
[2 2 3],1.0,1.5865713956922285,58
[2 2 4],1.0,1.1720067006716146,58
[2 2 5],1.0,1.3048067457682617,58
[2 3 0],1.0,2.2256514531144957,58
[2 3 1],0.0,0.0,0
[2 3 2],1.0,0.8203863516336355,29
[2 3 3],0.0,0.0,0
[2 3 4],1.0,0.8742681543717447,29
[2 3 5],2.0,0.9512397462150445,58
[2 4 0],0.0,0.0,0
[2 4 1],1.0,1.5045356262536522,58
[2 4 2],1.0,1.2521043397297262,58
[2 4 3],1.0,1.4184280013255974,58
[2 4 4],1.0,0.6524529241291924,29
[2 4 5],1.0,1.326641700285414,58
[2 5 0],1.0,1.5926270432416882,58
[2 5 1],0.0,1.2725493592658663,29
[2 5 2],1.0,1.5486668973908053,58
[2 5 3],1.0,0.27219257256773455,29
[2 5 4],0.0,1.2725493592658663,29
[2 5 5],1.0,0.27219257256773455,29
[3 0 0],0.0,0.0,0
[3 0 1],1.0,1.915434300653302,58
[3 0 2],0.0,0.0,0
[3 0 3],1.0,2.05684230726563,58
[3 0 4],0.0,1.320434470672313,29
[3 0 5],1.0,1.9590765925705038,58
[3 1 0],0.0,1.1063677509923684,29
[3 1 1],1.0,0.6711861058996718,29
[3 1 2],0.0,1.2616109307083945,29
[3 1 3],1.0,1.3181454795786374,58
[3 1 4],1.0,1.3517899491780794,58
[3 1 5],1.0,1.1197681436869125,58
[3 2 0],1.0,1.2253238663961694,58
[3 2 1],0.0,0.0,0
[3 2 2],1.0,0.8209228312071082,29
[3 2 3],0.0,1.1507519333516447,29
[3 2 4],1.0,1.310344891012447,58
[3 2 5],0.0,1.1507519333516447,29
[3 3 0],0.0,1.3703150739609853,29
