combination,sum_rewards,fuel_used,time_used
"[3, 2, 4, 8, 7]",4.0,2.2046450993147553,99.16021363254592
"[3, 2, 4, 8, 9]",4.0,3.6088364341135075,99.216033671165
"[3, 2, 4, 9, 0]",4.0,3.79025072083709,99.17542934162145
"[3, 2, 5, 0, 1]",4.0,3.706233725184129,99.17941461033195
"[3, 2, 5, 0, 9]",4.0,3.5457344191680704,99.17542647018662
"[3, 2, 5, 1, 0]",4.0,3.439126611561801,99.20721678307966
"[6, 9, 5, 7, 8]",4.0,3.6266045352648497,99.08343156063644
"[6, 9, 5, 7, 4]",4.0,3.957550139063108,99.07024160613162
"[6, 9, 5, 7, 3]",4.0,3.0951974974552523,99.06029655212559
"[3, 2, 5, 1, 9]",4.0,3.553417416949298,99.192314028595
"[6, 9, 5, 7, 2]",4.0,3.9836404817288704,99.1176862064867
"[3, 2, 5, 6, 7]",4.0,3.2592080583184497,99.24723460605703
"[3, 2, 5, 6, 8]",4.0,3.8697198513549207,99.23307855472852
"[6, 9, 5, 3, 8]",4.0,3.5466210559434628,99.26531068118184
"[6, 9, 5, 3, 7]",4.0,2.986098342041829,99.22485280505686
"[6, 9, 5, 3, 4]",4.0,3.878765970157372,99.23942689002584
"[6, 9, 5, 3, 2]",4.0,3.9199377465337255,99.3436640111711
"[3, 2, 5, 7, 6]",4.0,3.3245036499379412,99.24723379039482
"[3, 2, 5, 7, 8]",4.0,3.8998604026520622,99.19860220033146
"[6, 9, 5, 3, 1]",4.0,3.8536782689250977,99.22243181798135
"[6, 9, 3, 8, 4]",4.0,3.8800510453222476,99.14286763181332
"[6, 9, 3, 8, 2]",4.0,3.96305066189049,99.20970900473345
"[3, 2, 7, 0, 1]",4.0,3.723546679795356,99.20721345814164
"[6, 9, 3, 7, 8]",4.0,3.627015700420716,99.08343156063644
"[3, 2, 8, 1, 0]",4.0,3.4427798790450654,99.17941793526995
"[3, 2, 8, 1, 5]",4.0,3.5107701475828375,99.1826955905975
"[3, 2, 8, 1, 9]",4.0,3.5570706844325533,99.192314028595
"[3, 2, 8, 4, 5]",4.0,3.3127846518227964,99.16684481659367
"[3, 2, 8, 4, 6]",4.0,2.807275853700795,99.1596756740189
"[3, 2, 8, 4, 7]",4.0,2.772623868811925,99.15211768440652
"[3, 2, 8, 5, 0]",4.0,3.354318340763879,99.41351221971217
"[3, 2, 8, 5, 1]",4.0,3.0846074863325463,99.39558227827756
"[3, 2, 8, 5, 6]",4.0,3.218133655696086,99.39481409424509
"[3, 2, 8, 5, 7]",4.0,3.2835177566125497,99.3921241231374
"[3, 2, 8, 5, 9]",4.0,3.524330728065609,99.44408898726569
"[3, 2, 8, 6, 0]",4.0,3.377367842293106,99.33254932180138
"[3, 2, 8, 6, 1]",4.0,3.1552576310882836,99.19386923560448
"[3, 2, 8, 6, 4]",4.0,3.1438523199931945,99.18368077194013
"[3, 2, 8, 6, 5]",4.0,2.7126813842196422,99.21004014629061
"[3, 2, 8, 6, 7]",4.0,2.2019391788917186,99.24723460605703
"[3, 2, 8, 6, 9]",4.0,3.592189780136749,99.19429449595684
"[3, 2, 8, 7, 0]",4.0,3.405788490979934,99.18514473387688
"[3, 2, 8, 7, 1]",4.0,3.184243388501253,99.18075011303002
"[3, 2, 8, 7, 4]",4.0,3.0737100706713663,99.17258217573976
"[3, 2, 8, 7, 5]",4.0,2.7424153798454167,99.17880699050686
"[3, 2, 8, 7, 6]",4.0,2.167407714158983,99.24723379039476
"[3, 2, 8, 7, 9]",4.0,3.620276743822063,99.1781953073953
"[3, 2, 8, 0, 9]",4.0,3.566885090069667,99.17542647018662
"[3, 2, 8, 0, 1]",4.0,3.7273843960857245,99.15161576252225
"[3, 2, 7, 9, 0]",4.0,3.778611018511827,99.13903419000387
"[3, 2, 7, 5, 1]",4.0,3.128603678329132,99.14011467565948
"[6, 9, 3, 7, 5]",4.0,3.6266666133929997,99.09348144792797
"[6, 9, 3, 7, 4]",4.0,3.957961304218969,99.07024160613162
"[6, 9, 3, 7, 2]",4.0,3.984051646884731,99.11768620648671
"[3, 2, 7, 0, 9]",4.0,3.5630473737792974,99.2118216218042
"[3, 2, 7, 1, 0]",4.0,3.5046053181256926,99.15161908746026
"[3, 2, 7, 1, 5]",4.0,3.5725955866634465,99.14011765682781
"[3, 2, 7, 1, 9]",4.0,3.6188961235131916,99.19231402859499
"[6, 9, 3, 5, 1]",4.0,3.8549543524345844,99.22527054319883
"[3, 2, 7, 4, 8]",4.0,3.3499379751820135,99.14286954931728
"[3, 2, 7, 5, 0]",4.0,3.398314532760463,99.1732502365044
"[3, 2, 7, 5, 6]",4.0,3.262129847692667,99.14845218216007
"[3, 2, 7, 8, 6]",4.0,3.3629728094708966,99.12694990394337
"[3, 2, 7, 5, 8]",4.0,3.8653531434043495,99.37647287453284
"[3, 2, 7, 5, 9]",4.0,3.568326920062201,99.1772411719771
"[3, 2, 7, 6, 0]",4.0,3.349753584577952,99.33254932180135
"[3, 2, 7, 6, 1]",4.0,3.127643373373119,99.26939295480915
"[3, 2, 7, 6, 4]",4.0,3.1162380622779646,99.25570419496498
"[3, 2, 7, 6, 5]",4.0,2.68506712650448,99.27163062431187
"[3, 2, 7, 6, 8]",4.0,2.7848367142129336,99.28614319294931
